run,category,source,target,input,status,result,response_time_ms,translation
"10","basic translation","en","es","I deposited money at the bank.","200","PASS","1499","Deposité dinero en el banco."
"1","basic translation","en","es","The movie starts at 7:30 PM.","200","PASS","1763","La película empieza a las 19:30."
"2","basic translation","en","es","The movie starts at 7:30 PM.","200","PASS","1538","La película empieza a las 19:30."
"3","basic translation","en","es","The movie starts at 7:30 PM.","200","PASS","1573","La película empieza a las 19:30."
"4","basic translation","en","es","The movie starts at 7:30 PM.","200","PASS","1490","La película empieza a las 19:30."
"5","basic translation","en","es","The movie starts at 7:30 PM.","200","PASS","1535","La película empieza a las 19:30."
"6","basic translation","en","es","The movie starts at 7:30 PM.","200","PASS","2095","La película empieza a las 19:30."
"7","basic translation","en","es","The movie starts at 7:30 PM.","200","PASS","1423","La película empieza a las 19:30."
"8","basic translation","en","es","The movie starts at 7:30 PM.","200","PASS","1471","La película empieza a las 19:30."
"9","basic translation","en","es","The movie starts at 7:30 PM.","200","PASS","1416","La película empieza a las 19:30."
"10","basic translation","en","es","The movie starts at 7:30 PM.","200","PASS","1547","La película empieza a las 19:30."
"1","basic translation","en","es","I don't think that's a good idea.","200","PASS","1366","No creo que sea una buena idea."
"2","basic translation","en","es","I don't think that's a good idea.","200","PASS","1430","No creo que sea una buena idea."
"3","basic translation","en","es","I don't think that's a good idea.","200","PASS","2239","No creo que sea una buena idea."
"4","basic translation","en","es","I don't think that's a good idea.","200","PASS","1555","No creo que sea una buena idea."
"5","basic translation","en","es","I don't think that's a good idea.","200","PASS","1763","No creo que sea una buena idea."
"6","basic translation","en","es","I don't think that's a good idea.","200","PASS","2801","No creo que sea una buena idea."
"7","basic translation","en","es","I don't think that's a good idea.","200","PASS","2035","No creo que sea una buena idea."
"8","basic translation","en","es","I don't think that's a good idea.","200","PASS","1366","No creo que sea una buena idea."
"9","basic translation","en","es","I don't think that's a good idea.","200","PASS","1515","No creo que sea una buena idea."
"10","basic translation","en","es","I don't think that's a good idea.","200","PASS","1690","No creo que sea una buena idea."
"1","basic translation","en","es","María lives in New York.","200","PASS","1426","María vive en Nueva York."
"2","basic translation","en","es","María lives in New York.","200","PASS","2074","María vive en Nueva York."
"3","basic translation","en","es","María lives in New York.","200","PASS","2115","María vive en Nueva York."
"4","basic translation","en","es","María lives in New York.","200","PASS","1896","María vive en Nueva York."
"5","basic translation","en","es","María lives in New York.","200","PASS","1259","María vive en Nueva York."
"6","basic translation","en","es","María lives in New York.","200","PASS","1336","María vive en Nueva York."
"7","basic translation","en","es","María lives in New York.","200","PASS","1488","María vive en Nueva York."
"8","basic translation","en","es","María lives in New York.","200","PASS","1524","María vive en Nueva York."
"9","basic translation","en","es","María lives in New York.","200","PASS","1407","María vive en Nueva York."
"10","basic translation","en","es","María lives in New York.","200","PASS","1534","María vive en Nueva York."
"1","basic translation","en","es","Can you help me with this problem?","200","PASS","1682","¿Puedes ayudarme con este problema?"
"2","basic translation","en","es","Can you help me with this problem?","200","PASS","1804","¿Puedes ayudarme con este problema?"
"3","basic translation","en","es","Can you help me with this problem?","200","PASS","1594","¿Puedes ayudarme con este problema?"
"4","basic translation","en","es","Can you help me with this problem?","200","PASS","1448","¿Puedes ayudarme con este problema?"
"5","basic translation","en","es","Can you help me with this problem?","200","PASS","1395","¿Puedes ayudarme con este problema?"
"6","basic translation","en","es","Can you help me with this problem?","200","PASS","1508","¿Puedes ayudarme con este problema?"
"7","basic translation","en","es","Can you help me with this problem?","200","PASS","1355","¿Puedes ayudarme con este problema?"
"8","basic translation","en","es","Can you help me with this problem?","200","PASS","1588","¿Puedes ayudarme con este problema?"
"9","basic translation","en","es","Can you help me with this problem?","200","PASS","1750","¿Puedes ayudarme con este problema?"
"10","basic translation","en","es","Can you help me with this problem?","200","PASS","1590","¿Puedes ayudarme con este problema?"
"1","basic translation","en","es","The package weighs 12.5 kilograms.","200","PASS","1463","El paquete pesa 12,5 kilogramos."
"2","basic translation","en","es","The package weighs 12.5 kilograms.","200","PASS","1612","El paquete pesa 12,5 kilogramos."
"3","basic translation","en","es","The package weighs 12.5 kilograms.","200","PASS","1432","El paquete pesa 12,5 kilogramos."
"4","basic translation","en","es","The package weighs 12.5 kilograms.","200","PASS","1628","El paquete pesa 12,5 kilogramos."
"5","basic translation","en","es","The package weighs 12.5 kilograms.","200","PASS","1708","El paquete pesa 12,5 kilogramos."
"6","basic translation","en","es","The package weighs 12.5 kilograms.","200","PASS","1576","El paquete pesa 12,5 kilogramos."
"7","basic translation","en","es","The package weighs 12.5 kilograms.","200","PASS","1420","El paquete pesa 12,5 kilogramos."
"8","basic translation","en","es","The package weighs 12.5 kilograms.","200","PASS","1403","El paquete pesa 12,5 kilogramos."
"9","basic translation","en","es","The package weighs 12.5 kilograms.","200","PASS","1595","El paquete pesa 12,5 kilogramos."
"10","basic translation","en","es","The package weighs 12.5 kilograms.","200","PASS","1596","El paquete pesa 12,5 kilogramos."
"1","basic translation","en","es","Although it was late, we kept working.","200","PASS","1529","Aunque era tarde, seguimos trabajando."
"2","basic translation","en","es","Although it was late, we kept working.","200","PASS","1495","Aunque era tarde, seguimos trabajando."
"3","basic translation","en","es","Although it was late, we kept working.","200","PASS","1420","Aunque era tarde, seguimos trabajando."
"4","basic translation","en","es","Although it was late, we kept working.","200","PASS","1681","Aunque era tarde, seguimos trabajando."
"5","basic translation","en","es","Although it was late, we kept working.","200","PASS","1588","Aunque era tarde, seguimos trabajando."
"6","basic translation","en","es","Although it was late, we kept working.","200","PASS","1489","Aunque era tarde, seguimos trabajando."
"7","basic translation","en","es","Although it was late, we kept working.","200","PASS","1922","Aunque era tarde, seguimos trabajando."
"8","basic translation","en","es","Although it was late, we kept working.","200","PASS","2618","Aunque era tarde, seguimos trabajando."
"9","basic translation","en","es","Although it was late, we kept working.","200","PASS","1613","Aunque era tarde, seguimos trabajando."
"10","basic translation","en","es","Although it was late, we kept working.","200","PASS","1478","Aunque era tarde, seguimos trabajando."
"1","basic translation","es","en","¿Cómo estás?","200","PASS","1574","How are you?"
"2","basic translation","es","en","¿Cómo estás?","200","PASS","2067","How are you?"
"3","basic translation","es","en","¿Cómo estás?","200","PASS","1484","How are you?"
"4","basic translation","es","en","¿Cómo estás?","200","PASS","1562","How are you?"
"5","basic translation","es","en","¿Cómo estás?","200","PASS","1572","How are you?"
"6","basic translation","es","en","¿Cómo estás?","200","PASS","1325","How are you?"
"7","basic translation","es","en","¿Cómo estás?","200","PASS","1604","How are you?"
"8","basic translation","es","en","¿Cómo estás?","200","PASS","1412","How are you?"
"9","basic translation","es","en","¿Cómo estás?","200","PASS","1313","How are you?"
"10","basic translation","es","en","¿Cómo estás?","200","PASS","1450","How are you?"
"1","basic translation","es","en","¿Dónde está la estación de tren?","200","PASS","2045","Where is the train station?"
"2","basic translation","es","en","¿Dónde está la estación de tren?","200","PASS","1534","Where is the train station?"
"3","basic translation","es","en","¿Dónde está la estación de tren?","200","PASS","1344","Where is the train station?"
"4","basic translation","es","en","¿Dónde está la estación de tren?","200","PASS","1555","Where is the train station?"
"5","basic translation","es","en","¿Dónde está la estación de tren?","200","PASS","1444","Where is the train station?"
"6","basic translation","es","en","¿Dónde está la estación de tren?","200","PASS","1565","Where is the train station?"
"7","basic translation","es","en","¿Dónde está la estación de tren?","200","PASS","1580","Where is the train station?"
"8","basic translation","es","en","¿Dónde está la estación de tren?","200","PASS","1495","Where is the train station?"
"9","basic translation","es","en","¿Dónde está la estación de tren?","200","PASS","1460","Where is the train station?"
"10","basic translation","es","en","¿Dónde está la estación de tren?","200","PASS","1360","Where is the train station?"
"1","basic translation","es","en","Está lloviendo a cántaros.","200","PASS","1449","It's raining cats and dogs."
"2","basic translation","es","en","Está lloviendo a cántaros.","200","PASS","1576","It's raining cats and dogs."
"3","basic translation","es","en","Está lloviendo a cántaros.","200","PASS","1701","It's raining cats and dogs."
"4","basic translation","es","en","Está lloviendo a cántaros.","200","PASS","1578","It's raining cats and dogs."
"5","basic translation","es","en","Está lloviendo a cántaros.","200","PASS","1375","It's raining cats and dogs."
"6","basic translation","es","en","Está lloviendo a cántaros.","200","PASS","1537","It's raining cats and dogs."
"7","basic translation","es","en","Está lloviendo a cántaros.","200","PASS","1694","It's raining cats and dogs."
"8","basic translation","es","en","Está lloviendo a cántaros.","200","PASS","1462","It's raining cats and dogs."
"9","basic translation","es","en","Está lloviendo a cántaros.","200","PASS","1406","It's raining cats and dogs."
"10","basic translation","es","en","Está lloviendo a cántaros.","200","PASS","1905","It's raining cats and dogs."
"1","basic translation","es","en","Deposité dinero en el banco.","200","PASS","1856","I deposited money in the bank."
"2","basic translation","es","en","Deposité dinero en el banco.","200","PASS","1662","I deposited money in the bank."
"3","basic translation","es","en","Deposité dinero en el banco.","200","PASS","1413","I deposited money in the bank."
"4","basic translation","es","en","Deposité dinero en el banco.","200","PASS","1332","I deposited money in the bank."
"5","basic translation","es","en","Deposité dinero en el banco.","200","PASS","1428","I deposited money in the bank."
"6","basic translation","es","en","Deposité dinero en el banco.","200","PASS","2126","I deposited money in the bank."
"7","basic translation","es","en","Deposité dinero en el banco.","200","PASS","3354","I deposited money in the bank."
"8","basic translation","es","en","Deposité dinero en el banco.","200","PASS","1892","I deposited money in the bank."
"9","basic translation","es","en","Deposité dinero en el banco.","200","PASS","1442","I deposited money in the bank."
"10","basic translation","es","en","Deposité dinero en el banco.","200","PASS","1406","I deposited money in the bank."
"1","basic translation","es","en","La película empieza a las 7:30 de la tarde.","200","PASS","1480","The movie starts at 7:30 PM."
"2","basic translation","es","en","La película empieza a las 7:30 de la tarde.","200","PASS","1509","The movie starts at 7:30 PM."
"3","basic translation","es","en","La película empieza a las 7:30 de la tarde.","200","PASS","2131","The movie starts at 7:30 PM."
"4","basic translation","es","en","La película empieza a las 7:30 de la tarde.","200","PASS","1897","The movie starts at 7:30 PM."
"5","basic translation","es","en","La película empieza a las 7:30 de la tarde.","200","PASS","2037","The movie starts at 7:30 PM."
"6","basic translation","es","en","La película empieza a las 7:30 de la tarde.","200","PASS","2817","The movie starts at 7:30 PM."
"7","basic translation","es","en","La película empieza a las 7:30 de la tarde.","200","PASS","1941","The movie starts at 7:30 PM."
"8","basic translation","es","en","La película empieza a las 7:30 de la tarde.","200","PASS","1520","The movie starts at 7:30 PM."
"9","basic translation","es","en","La película empieza a las 7:30 de la tarde.","200","PASS","2567","The movie starts at 7:30 in the evening."
"10","basic translation","es","en","La película empieza a las 7:30 de la tarde.","200","PASS","2099","The movie starts at 7:30 PM."
"1","basic translation","es","en","No creo que sea una buena idea.","200","PASS","1738","I don't think it's a good idea."
"2","basic translation","es","en","No creo que sea una buena idea.","200","PASS","1558","I don't think it's a good idea."
"3","basic translation","es","en","No creo que sea una buena idea.","200","PASS","2616","I don't think it's a good idea."
"4","basic translation","es","en","No creo que sea una buena idea.","200","PASS","1632","I don't think it's a good idea."
"5","basic translation","es","en","No creo que sea una buena idea.","200","PASS","2045","I don't think it's a good idea."
"6","basic translation","es","en","No creo que sea una buena idea.","200","PASS","1959","I don't think it's a good idea."
"7","basic translation","es","en","No creo que sea una buena idea.","200","PASS","1874","I don't think it's a good idea."
"8","basic translation","es","en","No creo que sea una buena idea.","200","PASS","4434","I don't think it's a good idea."
"9","basic translation","es","en","No creo que sea una buena idea.","200","PASS","1690","I don't think it's a good idea."
"10","basic translation","es","en","No creo que sea una buena idea.","200","PASS","4853","I don't think it's a good idea."
"1","basic translation","es","en","María vive en Nueva York.","200","PASS","1520","María lives in New York."
"2","basic translation","es","en","María vive en Nueva York.","200","PASS","3929","María lives in New York."
"3","basic translation","es","en","María vive en Nueva York.","200","PASS","1363","Maria lives in New York."
"4","basic translation","es","en","María vive en Nueva York.","200","PASS","1683","María lives in New York."
"5","basic translation","es","en","María vive en Nueva York.","200","PASS","1796","María lives in New York."
"6","basic translation","es","en","María vive en Nueva York.","200","PASS","1630","María lives in New York."
"7","basic translation","es","en","María vive en Nueva York.","200","PASS","1605","María lives in New York."
"8","basic translation","es","en","María vive en Nueva York.","200","PASS","1453","María lives in New York."
"9","basic translation","es","en","María vive en Nueva York.","200","PASS","1828","María lives in New York."
"10","basic translation","es","en","María vive en Nueva York.","200","PASS","1462","María lives in New York."
"1","basic translation","es","en","¿Puedes ayudarme con este problema?","200","PASS","1848","Can you help me with this problem?"
"2","basic translation","es","en","¿Puedes ayudarme con este problema?","200","PASS","1762","Can you help me with this problem?"
"3","basic translation","es","en","¿Puedes ayudarme con este problema?","200","PASS","1870","Can you help me with this problem?"
"4","basic translation","es","en","¿Puedes ayudarme con este problema?","200","PASS","1682","Can you help me with this problem?"
"5","basic translation","es","en","¿Puedes ayudarme con este problema?","200","PASS","1736","Can you help me with this problem?"
"6","basic translation","es","en","¿Puedes ayudarme con este problema?","200","PASS","2045","Can you help me with this problem?"
"7","basic translation","es","en","¿Puedes ayudarme con este problema?","200","PASS","1625","Can you help me with this problem?"
"8","basic translation","es","en","¿Puedes ayudarme con este problema?","200","PASS","1626","Can you help me with this problem?"
"9","basic translation","es","en","¿Puedes ayudarme con este problema?","200","PASS","4198","Can you help me with this problem?"
"10","basic translation","es","en","¿Puedes ayudarme con este problema?","200","PASS","1392","Can you help me with this problem?"
"1","basic translation","es","en","El paquete pesa 12,5 kilogramos.","200","PASS","2138","The package weighs 12.5 kilograms."
"2","basic translation","es","en","El paquete pesa 12,5 kilogramos.","200","PASS","1789","The package weighs 12.5 kilograms."
"3","basic translation","es","en","El paquete pesa 12,5 kilogramos.","200","PASS","1597","The package weighs 12.5 kilograms."
"4","basic translation","es","en","El paquete pesa 12,5 kilogramos.","200","PASS","1452","The package weighs 12.5 kilograms."
"5","basic translation","es","en","El paquete pesa 12,5 kilogramos.","200","PASS","1431","The package weighs 12.5 kilograms."
"6","basic translation","es","en","El paquete pesa 12,5 kilogramos.","200","PASS","2077","The package weighs 12.5 kilograms."
"7","basic translation","es","en","El paquete pesa 12,5 kilogramos.","200","PASS","1837","The package weighs 12.5 kilograms."
"8","basic translation","es","en","El paquete pesa 12,5 kilogramos.","200","PASS","1874","The package weighs 12.5 kilograms."
"9","basic translation","es","en","El paquete pesa 12,5 kilogramos.","200","PASS","1545","The package weighs 12.5 kilograms."
"10","basic translation","es","en","El paquete pesa 12,5 kilogramos.","200","PASS","1688","The package weighs 12.5 kilograms."
"1","basic translation","es","en","Aunque era tarde, seguimos trabajando.","200","PASS","1421","Even though it was late, we kept working."
"2","basic translation","es","en","Aunque era tarde, seguimos trabajando.","200","PASS","1663","Even though it was late, we kept working."
"3","basic translation","es","en","Aunque era tarde, seguimos trabajando.","200","PASS","1535","Even though it was late, we kept working."
"4","basic translation","es","en","Aunque era tarde, seguimos trabajando.","200","PASS","1645","Even though it was late, we kept working."
"5","basic translation","es","en","Aunque era tarde, seguimos trabajando.","200","PASS","1494","Even though it was late, we kept working."
"6","basic translation","es","en","Aunque era tarde, seguimos trabajando.","200","PASS","1496","Even though it was late, we kept working."
"7","basic translation","es","en","Aunque era tarde, seguimos trabajando.","200","PASS","1418","Even though it was late, we kept working."
"8","basic translation","es","en","Aunque era tarde, seguimos trabajando.","200","PASS","1522","Even though it was late, we kept working."
"9","basic translation","es","en","Aunque era tarde, seguimos trabajando.","200","PASS","1545","Even though it was late, we kept working."
"10","basic translation","es","en","Aunque era tarde, seguimos trabajando.","200","PASS","1423","Even though it was late, we kept working."
"1","basic translation","en","fr","How are you?","200","PASS","1510","Comment ça va ?"
"2","basic translation","en","fr","How are you?","200","PASS","1437","Comment ça va ?"
"3","basic translation","en","fr","How are you?","200","PASS","1461","Comment ça va ?"
"4","basic translation","en","fr","How are you?","200","PASS","1738","Comment ça va ?"
"5","basic translation","en","fr","How are you?","200","PASS","1496","Comment ça va ?"
"6","basic translation","en","fr","How are you?","200","PASS","1579","Comment ça va ?"
"7","basic translation","en","fr","How are you?","200","PASS","1601","Comment ça va ?"
"8","basic translation","en","fr","How are you?","200","PASS","1756","Comment ça va ?"
"9","basic translation","en","fr","How are you?","200","PASS","1772","Comment ça va ?"
"10","basic translation","en","fr","How are you?","200","PASS","1721","Comment ça va ?"
"1","basic translation","en","fr","Where is the train station?","200","PASS","1612","Où se trouve la gare ?"
"2","basic translation","en","fr","Where is the train station?","200","PASS","1472","Où se trouve la gare ?"
"3","basic translation","en","fr","Where is the train station?","200","PASS","1516","Où se trouve la gare ?"
"4","basic translation","en","fr","Where is the train station?","200","PASS","3732","Où se trouve la gare ?"
"5","basic translation","en","fr","Where is the train station?","200","PASS","1607","Où se trouve la gare ?"
"6","basic translation","en","fr","Where is the train station?","200","PASS","1579","Où se trouve la gare ?"
"7","basic translation","en","fr","Where is the train station?","200","PASS","1523","Où se trouve la gare ?"
"8","basic translation","en","fr","Where is the train station?","200","PASS","2092","Où se trouve la gare ?"
"9","basic translation","en","fr","Where is the train station?","200","PASS","1729","Où se trouve la gare ?"
"10","basic translation","en","fr","Where is the train station?","200","PASS","2741","Où se trouve la gare ?"
"1","basic translation","en","fr","It's raining cats and dogs.","200","PASS","1954","Il pleut des cordes."
"2","basic translation","en","fr","It's raining cats and dogs.","200","PASS","1461","Il pleut des cordes."
"3","basic translation","en","fr","It's raining cats and dogs.","200","PASS","1588","Il pleut des cordes."
"4","basic translation","en","fr","It's raining cats and dogs.","200","PASS","1453","Il pleut des cordes."
"5","basic translation","en","fr","It's raining cats and dogs.","200","PASS","1826","Il pleut des cordes."
"6","basic translation","en","fr","It's raining cats and dogs.","200","PASS","1373","Il pleut des cordes."
"7","basic translation","en","fr","It's raining cats and dogs.","200","PASS","1589","Il pleut des cordes."
"8","basic translation","en","fr","It's raining cats and dogs.","200","PASS","1405","Il pleut des cordes."
"9","basic translation","en","fr","It's raining cats and dogs.","200","PASS","2451","Il pleut des cordes."
"10","basic translation","en","fr","It's raining cats and dogs.","200","PASS","1957","Il pleut des cordes."
"1","basic translation","en","fr","I deposited money at the bank.","200","PASS","1489","J'ai déposé de l'argent à la banque."
"2","basic translation","en","fr","I deposited money at the bank.","200","PASS","2514","J'ai déposé de l'argent à la banque."
"3","basic translation","en","fr","I deposited money at the bank.","200","PASS","1495","J'ai déposé de l'argent à la banque."
"4","basic translation","en","fr","I deposited money at the bank.","200","PASS","1497","J'ai déposé de l'argent à la banque."
"5","basic translation","en","fr","I deposited money at the bank.","200","PASS","1399","J'ai déposé de l'argent à la banque."
"6","basic translation","en","fr","I deposited money at the bank.","200","PASS","1502","J'ai déposé de l'argent à la banque."
"7","basic translation","en","fr","I deposited money at the bank.","200","PASS","1478","J'ai déposé de l'argent à la banque."
"8","basic translation","en","fr","I deposited money at the bank.","200","PASS","1585","J'ai déposé de l'argent à la banque."
"9","basic translation","en","fr","I deposited money at the bank.","200","PASS","1553","J'ai déposé de l'argent à la banque."
"10","basic translation","en","fr","I deposited money at the bank.","200","PASS","1619","J'ai déposé de l'argent à la banque."
"1","basic translation","en","fr","The movie starts at 7:30 PM.","200","PASS","1803","Le film commence à 19h30."
"2","basic translation","en","fr","The movie starts at 7:30 PM.","200","PASS","1563","Le film commence à 19h30."
"3","basic translation","en","fr","The movie starts at 7:30 PM.","200","PASS","1577","Le film commence à 19h30."
"4","basic translation","en","fr","The movie starts at 7:30 PM.","200","PASS","1770","Le film commence à 19h30."
"5","basic translation","en","fr","The movie starts at 7:30 PM.","200","PASS","1558","Le film commence à 19h30."
"6","basic translation","en","fr","The movie starts at 7:30 PM.","200","PASS","1805","Le film commence à 19h30."
"7","basic translation","en","fr","The movie starts at 7:30 PM.","200","PASS","1572","Le film commence à 19h30."
"8","basic translation","en","fr","The movie starts at 7:30 PM.","200","PASS","1606","Le film commence à 19h30."
"9","basic translation","en","fr","The movie starts at 7:30 PM.","200","PASS","1638","Le film commence à 19h30."
"10","basic translation","en","fr","The movie starts at 7:30 PM.","200","PASS","1747","Le film commence à 19h30."
"1","basic translation","en","fr","I don't think that's a good idea.","200","PASS","1488","Je ne pense pas que ce soit une bonne idée."
"2","basic translation","en","fr","I don't think that's a good idea.","200","PASS","1566","Je ne pense pas que ce soit une bonne idée."
"3","basic translation","en","fr","I don't think that's a good idea.","200","PASS","1572","Je ne pense pas que ce soit une bonne idée."
"4","basic translation","en","fr","I don't think that's a good idea.","200","PASS","1526","Je ne pense pas que ce soit une bonne idée."
"5","basic translation","en","fr","I don't think that's a good idea.","200","PASS","1729","Je ne pense pas que ce soit une bonne idée."
"6","basic translation","en","fr","I don't think that's a good idea.","200","PASS","1769","Je ne pense pas que ce soit une bonne idée."
"7","basic translation","en","fr","I don't think that's a good idea.","200","PASS","1575","Je ne pense pas que ce soit une bonne idée."
"8","basic translation","en","fr","I don't think that's a good idea.","200","PASS","1420","Je ne pense pas que ce soit une bonne idée."
"9","basic translation","en","fr","I don't think that's a good idea.","200","PASS","1571","Je ne pense pas que ce soit une bonne idée."
"10","basic translation","en","fr","I don't think that's a good idea.","200","PASS","1425","Je ne pense pas que ce soit une bonne idée."
"1","basic translation","en","fr","María lives in New York.","200","PASS","1417","María vit à New York."
"2","basic translation","en","fr","María lives in New York.","200","PASS","1372","María vit à New York."
"3","basic translation","en","fr","María lives in New York.","200","PASS","2884","María habite à New York."
"4","basic translation","en","fr","María lives in New York.","200","PASS","1858","María vit à New York."
"5","basic translation","en","fr","María lives in New York.","200","PASS","1472","María vit à New York."
"6","basic translation","en","fr","María lives in New York.","200","PASS","1569","María vit à New York."
"7","basic translation","en","fr","María lives in New York.","200","PASS","1593","María vit à New York."
"8","basic translation","en","fr","María lives in New York.","200","PASS","2090","María vit à New York."
"9","basic translation","en","fr","María lives in New York.","200","PASS","1438","María vit à New York."
"10","basic translation","en","fr","María lives in New York.","200","PASS","1478","María vit à New York."
"1","basic translation","en","fr","Can you help me with this problem?","200","PASS","1502","Pouvez-vous m'aider avec ce problème ?"
"2","basic translation","en","fr","Can you help me with this problem?","200","PASS","1666","Pouvez-vous m'aider avec ce problème ?"
"3","basic translation","en","fr","Can you help me with this problem?","200","PASS","1844","Peux-tu m'aider avec ce problème ?"
"4","basic translation","en","fr","Can you help me with this problem?","200","PASS","1490","Pouvez-vous m'aider avec ce problème ?"
"5","basic translation","en","fr","Can you help me with this problem?","200","PASS","1993","Peux-tu m'aider avec ce problème ?"
"6","basic translation","en","fr","Can you help me with this problem?","200","PASS","1630","Pouvez-vous m'aider avec ce problème ?"
"7","basic translation","en","fr","Can you help me with this problem?","200","PASS","1478","Pouvez-vous m'aider avec ce problème ?"
"8","basic translation","en","fr","Can you help me with this problem?","200","PASS","1616","Peux-tu m'aider avec ce problème ?"
"9","basic translation","en","fr","Can you help me with this problem?","200","PASS","1384","Peux-tu m'aider avec ce problème ?"
"10","basic translation","en","fr","Can you help me with this problem?","200","PASS","1597","Pouvez-vous m'aider avec ce problème ?"
"1","basic translation","en","fr","The package weighs 12.5 kilograms.","200","PASS","1520","Le colis pèse 12,5 kilogrammes."
"2","basic translation","en","fr","The package weighs 12.5 kilograms.","200","PASS","1659","Le colis pèse 12,5 kilogrammes."
"3","basic translation","en","fr","The package weighs 12.5 kilograms.","200","PASS","1857","Le colis pèse 12,5 kilogrammes."
"4","basic translation","en","fr","The package weighs 12.5 kilograms.","200","PASS","1320","Le colis pèse 12,5 kilogrammes."
"5","basic translation","en","fr","The package weighs 12.5 kilograms.","200","PASS","1455","Le colis pèse 12,5 kilogrammes."
"6","basic translation","en","fr","The package weighs 12.5 kilograms.","200","PASS","1526","Le colis pèse 12,5 kilogrammes."
"7","basic translation","en","fr","The package weighs 12.5 kilograms.","200","PASS","4000","Le colis pèse 12,5 kilogrammes."
"8","basic translation","en","fr","The package weighs 12.5 kilograms.","200","PASS","1477","Le colis pèse 12,5 kilogrammes."
"9","basic translation","en","fr","The package weighs 12.5 kilograms.","200","PASS","1458","Le colis pèse 12,5 kilogrammes."
"10","basic translation","en","fr","The package weighs 12.5 kilograms.","200","PASS","1451","Le colis pèse 12,5 kilogrammes."
"1","basic translation","en","fr","Although it was late, we kept working.","200","PASS","1595","Bien qu'il fût tard, nous avons continué à travailler."
"2","basic translation","en","fr","Although it was late, we kept working.","200","PASS","1678","Bien qu'il soit tard, nous avons continué à travailler."
"3","basic translation","en","fr","Although it was late, we kept working.","200","PASS","1385","Bien qu'il soit tard, nous avons continué à travailler."
"4","basic translation","en","fr","Although it was late, we kept working.","200","PASS","1519","Bien qu'il soit tard, nous avons continué à travailler."
